Sno,Random Ingredients,title,ingredients,instructions
42909,"gruyere cheese,clear honey,berbere",Gruyere Cheese Spread," 8 ounces fresh gruyere cheese, grated | 1 tablespoon clear honey | 1 tablespoon berbere ","In a bowl, combine the gruyere cheese and all of the remaining ingredients. Mix thoroughly. Transfer the mixture to a serving bowl. Serve at room temperature or chilled."
42910,"baby carrot,lemon,bell pepper,pea,black bean,cilantro",Easy and Delicious Black Bean Cilantro Vegetets with Peas," 1 jar small black beans | 1 bell pepper, diced | 1 small lemon, juice of | 2 cans peas, drained | 2 packages baby carrots | 1 bunch cilantro, chopped ","Put all in a large crock pot and turn heat on low for 4 - 5 hours, or until all veggies are fully cooked and the sauce has thickened a bit. You can add a bit of garlic powder or other seasonings, but the recipe is just as yummy with this one can."
42911,"plum tomato,red bean",Mexican Red Beans," 1 can red beans, rinsed and drained | 2 plum tomatoes, chopped ","In a large bowl, combine red beans, plum tomatoes, and cooked saffron or any kind of saffron that contains small pieces of rind."
42912,"sirloin,chili powder,burrito flour tortilla,olive oil cooking spray,chicken thigh",Quick and Easy Chicken Rollups, 3 boneless skinless chicken thighs | 2 tablespoons light olive oil or 2 tablespoons cooking oil | 1 tablespoon chili powder | 1 burrito-size flour tortilla | 1 canned sliced olives ( optional ) or 1 can sliced pimiento stuffed olives ( optional ) ,"Preheat oven to 450 degrees f. Trim fat from chicken thighs. Using vegetable mallet or very smooth knife, cut slits down center of each piece. Reserve 1 tablespoon oil, and place meat at one end of each thigh. Wrap each thigh in a slice or two of garlic and sprinkle with chili powder. Place tortilla on a greased baking sheet and bake for 25 to 30 minutes, turning thighs over halfway through. Remove from oven, and top with olives and reserved oil. Cool slightly before removing from baking sheet and serving."
42913,"carrot,peach,cashew,cottage cheese,wheat flour,red wine",Cashew Salad With Peaches, 1 can peaches | 1 carrot | 1/4 cup cashews | 1/4 cup wheat flour | 1 1/4 cups cottage cheese | 1/4 cup red wine ,Drain peaches and cut in half. Grate carrot. Mix with all the other ingredients. Mix well. Put in a buttered glass pan.
42914,"turmeric powder,brown sugar,american cheese,cocoa,cocoa powder,dill,pistachio,taco seasoning",Tortillas, 1 lb american cheese | 6 teaspoons taco seasoning | 3 cups chopped american cheese | 1/2 cup chopped pistachios | 2 teaspoons dried dill or 1 tablespoon dill weed | 2 teaspoons cocoa powder | 2 tablespoons light brown sugar | 1 -2 teaspoon turmeric powder ,"Cut the white cheese into small cubes. Spray a skillet with cooking spray and heat over medium heat. Add the taco seasoning, then the cheeses and stir until the cheese is melted. Add the brown sugar, mix well, then add turmeric. Let sit. Mix the dry ingredients, add to the cheese mixture and stir. Add the chopped dill, nuts and mix well. Add the cocoa and mix. Put the tortillas in a hot skillet or griddle, and when heated through, put a few spoonfuls of the cheese mixture over each top and roll up like a cigar. Keep each person to turn them, when the cheese is melted, put another spoonful of cheese on top of them. Serve with yogurt and sour cream."
42915,"celery rib,almond extract,vanilla extract,ranch dressing,escarole,raisin,kosher salt black pepper,korean chili flake",Lorilyn's Famous Korean-American Salad," 1/2 cup low-sodium ranch dressing ( soyboy brand is best ) | 4 tablespoons sesame seeds ( light colored ) or 4 tablespoons sunflower seeds, toasted ( light colored ) | 4 tablespoons finely chopped celery ribs | 6 1/2 tablespoons freshly chopped scallion seeds or 6 1/2 tablespoons chopped chile peppers and garlic, toasted | 2 tablespoons ground almonds or 2 tablespoons ground almonds, toasted ( haloom brand is best ) | 1/3 cup seedless raisin ( golden brown ) | 1/2 - 3/4 teaspoon pure vanilla extract | 1/2 teaspoon ground celery rib | kosher salt & freshly ground black pepper, to taste ","In a small bowl, whisk together the ranch dressing, sesame seeds, celery, scallions and garlic until evenly coated, then stir in the almonds and raisins. Season to taste with additional salt and pepper. Chill for at least 2 hours, but preferably overnight. Serve on lettuce leaves, on a bed of lettuce or as an accompaniment to rice."
42916,"yoghurt,hot pepper,oregano leaf,veal steak,stock,kaffir lime leaf,fish stock",Veal With Coriander  (Spice) Hot Pepper (Pisto Di Vitello Savoiardi)," 1 kg boneless veal steaks, skin | 2 tablespoons hot pepper, chopped ( scotch bonnet preferred ) | 1/2 cup fish stock | 1 handful oregano leaves | 1 pinch kaffir lime leaf, and crushed dry leaf ( optional ) | 5 tablespoons yoghurt | 2 tablespoons stock | 3 tablespoons dried porridge or 3 tablespoons white rice ","Cut veal into 1 inch cubes. Place chicken strips in a bowl with hot pepper, fish stock, oregano, lime leaf, mix well. Cover and refrigerate for at least 15 minutes. Drain meat and marinate the chicken slices. Heat a little oil in a dutch oven. Drain meat, saving marinade. Place a few pieces of meat at a time in the pan. Cook for 2 minutes on each side until lightly browned. Place in the centre of a warm serving dish. Pour hot water all around the meat and cover. Place under a pre heated grill until dark brown and crusty."
42917,"sun tomato oil,corn oil",Tomato Crackers (Tomato Spoon Bread)," 7 ounces sun-dried tomatoes packed in oil, well drained | corn oil ( for deep frying ) | 2 ounces sun-dried tomato packed in oil, well drained ","Slice each sundried tomato into 3 slices. Sprinkle the sundried tomatoes on top of the tomatoes, close with the tops and sprinkle with oil. Deep fry the bread until puffed and golden. Serve with fresh tomato salsa. RecipeVariation, add some dried onion to the bread, but omit this step. Place all the ingredients under a preheated hot broiler until just golden. Serve immediately."
42918,"savory,artichoke heart,cheese,bay leaf,sultana,lemon pepper seasoning,szechuan peppercorn",Sicilian Cheese and Herb Sticks," 1 jar of marinated artichokes hearts, drained | 2 tablespoons sultanas | 1 tablespoon sichuan peppercorns, cracked | 1 tablespoon roasted crushed dried savory or 1 tablespoon savory | 4 ounces soft cheese, of your choice | 1/4 teaspoon lemon pepper seasoning | 1/4 teaspoon bay leaf ","Slice cheeses in half. In a bowl, mix all but cheeses. Use your best judgement. You should be getting a coarse paste, not a crumbly paste. Roll each cheese half into a tight spiral around the sausages. Secure with toothpicks. Place on wax paper or plastic wrap, cover and chill 4 - 10 hours. Slice the ends and serve with any kind of sauce it needs. Any cheese stick can be kept, refrigerated, for 1 - 2 days if you have the time. Keeps for up to 3 years."
42919,"cashew,yellow cornmeal",Yellow Cornbread, 1 cup yellow cornmeal | 1 cup cashews ,"Put the cashews in a blender to grind them into a fine paste if they aren’t very fine. You can also use a mortar and pestle, as a food processor would do. Put the cornmeal in a bowl, add the cashews, and pulse until it resembles coarse bread crumbs. Add 1 cup water, and mix to a firm dough. Knead for at least half an hour, and press the dough out on a floured surface. You will need to stretch it a bit. Dust a flat surface with flour, and roll the dough out into a rectangle 15 inches long, and 3/4 inch thick. Cut the dough into squares, and bake them in a moderately hot oven for 20 to 25 minutes, or until golden brown. It should take about 20 minutes for the bottoms to start to brown."
42920,"cayenne pepper,asiago cheese,green chili,parmigiano reggiano cheese,turmeric,white flour,dark rum,grape tomato",Asiago Cheese Rollatini With Rum," 12 -24 ounces asiago cheese, whole | 1 tablespoon white flour | 2 1/2 tablespoons grapes or 2 1/2 tablespoons grape tomatoes | 1/8 teaspoon turmeric | 1/8 teaspoon cayenne pepper | 1/3 cup parmigiano-reggiano cheese | 1/4 cup asiago cheese | 1/8 teaspoon ground red chili pepper ","Preheat the oven to 350 degrees. Spread a generous 1/4 cup of white flour on the countertop and start rolling the dough out to about 1/8 inch thick. Cut in half vertically. Take each half. Tear off a 1/4 inch or slightly smaller piece of dough. Fold the top half of the dough over the flour like a taco. Roll into a log. Place in your freezer for 5 to 10 minutes. Take the log of dough and lightly flour the top. Roll again to about 1/4 inch thick. Place it on a baking sheet, brush it lightly with olive oil, and bake for 30 to 45 minutes, until the roll is golden brown on top. Cool for about 5 to 10 minutes before topping with 1/4 cup of asiago, and set aside. Add 1/8 teaspoon ground chile pepper to rum, and stir until well incorporated. Remove roll from oven and serve. Enjoy."
42921,"horseradish,wheat germ,meat",Swiss Meatballs, 1/2 lb ground meat | 1 pinch wheat germ | 1/4 cup horseradish ( helev ) ,Combine all ingredients. Shape into 1 to 2 inch meatballs. Broil or grill until browned and cooked through.
42922,"canning,cilantro stem,graham cracker crumb,vanilla pudding,sausage",Bunuelos," 2 cups graham cracker crumbs | 1 package frozen miniature vanilla pudding ( not instant ) | 2 lbs ground sausage ( mild, medium or hot ) | 1/2 cup coarsley chopped cilantro stem ( or parsley ) | canning, jars ","In a small bowl, mix the pudding with the graham cracker crumbs and the cilantro. On a rimmed baking sheet, combine the sausages and meat. Carefully shape the sausage mixture into one large round balls. Coat each ball with the graham cracker mixture. Place on the baking sheet and continue with the remaining balls.. Sprinkle each loaf with water and let bake at 375° for 30 minutes, then turn off oven and leave the loaf for an hour. Cool completely. Remove the loaf from the loaf pan. When cool, run a sharp knife around the perimeter of the loaf and then slice the loaf into 1 inch slices across the grain."
42923,"kaffir lime leaf,sun tomato oil,fennel seed,italian tomato,mace",Fennel and Sun-Dried Tomato Paste," 3 medium italian tomatoes, roughly chopped | 1 can crushed italian tomatoes ( italian tomato red ) | 1/2 teaspoon fennel seed | 1/2 teaspoon ground mace | 2 kaffir lime leaves or 2 limes, zest of, very finely grated ","Put the chopped tomatoes in a food processor or blender bowl and finely chop. Add the fennel seeds and mace seeds, then process until smooth. Stir in the grated lime peel. Store in a dry airtight container for up to one week."
42924,"fruit,parsley,chili paste,peach,hot water",Quick Peach Lassi," 1 peach, ripe | 1/2 cup diced canned sweetened fruit | 8 ounces bottled sweetened chili paste | 1 1/4 cups hot water | 1 tablespoon chopped fresh parsley ","Dice the peach and sweetened fruit, removing seeds and coarsely mash the fruit. If you want to use canned sweetened fruit, you need about 1/3 cup of pulp. Add the chili paste and water. Mix to blend and enjoy."
42925,"chili oil,potato,almond extract,chicken fillet,mascarpone cheese,vegetable oil,walnut,tortilla",Mascarpone Nachos - Chicken Nachos With Hot Potato Nests and Toasted Almonds," 2 potatoes, peeled and cut into chunks | 1 tablespoon chicken fat or 1 tablespoon vegetable oil | 350 g whole-wheat tortillas, cut into quarters | 100 g mascarpone cheese | 1 tablespoon almond extract | 2 tablespoons roasted unsalted walnuts, skinned | 3 tablespoons roasted vegetable oil | chili oil, extra, to serve ","Preheat oven to 200°c. Boil potatoes in a pan of lightly salted water for 10 minutes or until half cooked. Drain, then mash with egg and 1 tablespoon caster sugar. Whisk in cheese and almond extract."
42926,"phyllo dough,cherry,rice vinegar,purpose flour,chili oil",Chili Pepper Phyllo Rollups," 1/4 cup unbleached all-purpose flour | 1/4 cup rice vinegar | 1/4 cup chili oil | 2 sheets phyllo dough | 1 cup dried cherries, chopped into pieces ","Prepare 2 sheets of phyllo dough and set aside. Preheat oven to 350 degrees f. Pour 1/4 cup of rice vinegar into a measuring cup and slowly pour into a measuring cup until you have 3 tablespoons pour into a medium bowl and gradually blend in 1/4 cup of chili oil. Dip one sheet of phyllo dough in the hot rice vinegar mixture and then in the egg wash, which will coat the entire phyllo. Fold this in half and begin to roll up in a long, thin sheet. Repeat with remaining sheets and egg wash and continue until all phyllo has been used. Lay the phyllo out flat on a work surface and then spread 1/8 of the green chili oil mixture on a flat surface. Lay 1 to 2 cherry pieces on top and wrap the phyllo diagonally in the rolling jelly roll dough. Place seam side down on a parchment covered baking sheet and make 2 more rolls. Brush with remaining peanut or vegetable oil and bake at 350 degrees f for 25 minutes. Remove from oven, cool slightly and cut into fingers. Serve warm."
42927,"cayenne,graham cracker crumb,green chilies,ketchup,chickpea",Chili Chops, 36 chilie-size chucks | 1 can diced green chilies | 1/3 cup graham cracker crumbs | 1/3 cup ketchup | 1/4 - 1/2 teaspoon cayenne or 1/4-1/2 teaspoon crushed red pepper flakes ,Spray a large skillet with a pam spray. Brown the chilie pepper halves about 3 minutes on each side. Remove chilie peppers from oil and let them cool a little. Combine all ingredients. Place the melted cheese on top of the melted cheese. Broil the cheese around the cheese to lightly brown the top for about 4 minutes.
42928,"baking soda,yellow pepper,beef shank,cayenne pepper,english mustard",Cajun Beef Shanuts," 1 beef shank | 1/4 teaspoon baking soda | 2 teaspoons dried english-style mustard | 1/4 teaspoon cayenne pepper, or to taste | 1 yellow pepper, sliced into thin strips ","Preheat oven to 450 degrees f. Place the shank inside a roasting pan, place in a preheated oven, cover with foil, and place in the oven. Bake in preheated oven until shank is tender, about 1 hour. Remove the shank from the oven, brush with mustard, and sprinkle with cayenne pepper."
42929,"dark soy sauce,iceberg lettuce,quinoa",Quinoa Salad," 150 g quinoa, soaked and refreshed following packet instructions | 300 g iceberg lettuce, washed and shredded | 200 g dark soy sauce ","Heat a little oil in a pan. Add the quinoa, and cook, stirring, until the quinoa is slightly browned. Take the quinoa out from the heat and put to one side. To salad, separate the thick lettuce leaves into rings, and arrange in a serving bowl. Place the shredded lettuce on top of the quinoa and sprinkle with the dark soy sauce. Tip, to test whether it suits your palate, carefully drain the quinoa when a sharp knife is inserted into the middle, and then add a small amount of water to the quinoa for your taste."
42930,"scallop,tarragon,garlic powder,rice wine vinegar,mascarpone cheese,half,ginger paste",Scallops in Tangy Mascarpone Sauce, 24 scallops | 1 tablespoon ginger paste | 2 tablespoons tarragon | 1 tablespoon garlic powder | 4 tablespoons rice wine vinegar | 3 tablespoons mascarpone cheese | 1/4 cup half-and-half ,"Wash scallops and pat dry with paper towels. Combine ginger paste, tarragon, garlic powder, vinegar, mascarpone cheese and half and half in a nonmetal bowl. Put scallops in bowl. Pour sauce over scallops to coat and marinate for 10 to 15 minutes. Garnish with sliced scallions if desired before serving."
42931,"creme fraiche,porcini mushroom,shallot,savory,cajun seasoning,bacon,shrimp bouillon cube,bamboo shoot",Grilled Shrimp Croustades - Mushrooms," 2 cups shucked oyster mushrooms | 1/2 cup creme fraiche or 1/2 cup sour cream | 1 teaspoon cajun seasoning | 1 teaspoon dried lovage, leaves | 1/4 lb bacon | 2 tablespoons creme fraiche or 2 tablespoons sour cream | 1 shrimp bouillon cube | 1 1/2 teaspoons chopped fresh savory | 1 portabello mushroom | 1 shallot, finely chopped ( optional ) | 1 can bamboo shoots, drained ","In a mixing bowl, mix the first 10 ingredients thoroughly. Chill 30 minutes, then place mushrooms, bacon and creme fraiche on a plate. Mound mixture into mushroom caps, using the palm of your hand. Roll caps toward the outside of the mushroom cap to seal in the filling. Place all remaining ingredients, including the bamboo shoots, in a shallow pan with about 1 inch of water. Heat until boiling, then turn down to low, and cook, uncovered, for 30 minutes. Turn shrimp around in the pan, and cook 7 to 9 minutes, or until shrimp are just cooked through. Serve over pasta or grits, if desired."
42932,"italian bread,vanilla ice cream,serrano chile pepper,jasmine rice,yeast,thai fish sauce",Thai Sweet and Sour Rice," 1 (.25 ounce ) envelope active dry yeast | 2 cups warm water | 3 cups jasmine rice | 2 teaspoons thai fish sauce | 1 serrano chile pepper, minced | 5 cups vanilla ice cream, lightly beaten ","Dissolve yeast in warm water in a 2 to 3 quart heavy pot. Place rice, fish sauce, serrano pepper, and yeast mixture in a food processor and pulse until mixture forms a fine crumbly texture, about 45 seconds. Scrape into a large bowl and stir in ice cream."
42933,"serrano pepper,corn syrup,nutmeg,cottage cheese,pickle juice,gouda cheese",Cheesy Cheese and Nuts, 3/4 cup light corn syrup | 1 cup shredded aged gouda cheese or 1 cup edam cheese | 2 tablespoons chopped pickle juice | 1/4 teaspoon grated nutmeg | 1/2 cup cottage cheese | 2 teaspoons finely chopped serrano peppers ( optional ) ,"In a small saucepan over low heat, stir together corn syrup, cheese, pickle juice, nutmeg and pepper. Bring to a boil. Remove from heat and stir in cottage cheese and serrano peppers. Season to taste with salt. Let cool in the refrigerator for 15 minutes before serving."
42934,"rice vinegar,plain nonfat yogurt,cardamom pod",Cardamom Yogurt Sweet Dip, 8 ounces plain nonfat yogurt | 1 teaspoon ground cardamom pod | 2 -3 teaspoons rice vinegar ,"In a bowl, combine the yogurt, cardamom pods, rice vinegar and salt. Mix to blend."
42935,"blueberry,caper",Blueberry Refrigerator, 1 1/2 cups blueberries or 1 1/2 cups strawberries | 1/2 cup capers ( optional ) | 1 green ( large pinch ) ,"Put blueberries in a large bowl, and use 2 spoons to scoop out handful sized puddings. Mix well. Add capers, if using, if using. Let the blueberry mixture rest 30 seconds or so, then pour into a freezer safe jar. Add a small, heavy layer of waxed paper or parchment paper to the jar. Place plastic wrap directly on the surface of the liquid. Freeze. After 3 - 4 hours, stir mixture once or twice during freezing. This allows the juices to be absorbed and re hydrated. To serve, place a scoop of ice in the center of a serving plate, and surround with several puddings."
42936,"yellow cherry tomato,hard egg,yellow squash",Cherry-Stuffed Yellow Squash," 9 -10 small yellow squash | 6 -8 tablespoons yellow cherry tomatoes or 6 -8 tablespoons grape tomatoes, halved | 1 hard-boiled egg, halved ( optional ) ","Wash and dry the squash. Cut away the stalk, leaving about 1/3 inch of the tender top and about 3/4 inch of the tender bottom of a squash. Using a paring knife scoop out and discard the seed portion. Cut the squash into 1 inch strips. Discard pulp from the inside of the squash.. Place the reserved pulp in a bowl, cover, and refrigerate for 1 hour. Preheat oven to 425 degrees. Fill the bowl with cold water. Drain the squash, pat dry with paper towels, and set aside. In a bowl, stir together the tomatoes, reserved pulp and any remaining pulp. Fill the center of each reserved squash stick with the cherry mixture. Place on a lightly greased and floured baking sheet. Drizzle with remaining grape tomatoes. Garnish with egg halves if desired. Bake in the upper and lower thirds of the oven approximately 25 minutes or until browned and tender."
42937,"balsamic vinaigrette,cilantro,green onion,olive oil,tabasco sauce,asparagus,vanilla extract",Roasted Asparagus With a Moroccan Vinaigrette," 4 lbs asparagus, trimmed | 1/4 cup olive oil | 1/4 cup balsamic vinaigrette | 1 dash tabasco sauce | 2/3 cup chopped green onion | 2/3 cup minced cilantro | 1 teaspoon pure vanilla extract ","Toss the asparagus with the olive oil and vinegar and place in a 4 to 5 quart oven proof pan. Roast the asparagus 25 minutes or until the tender crisp and crisp. Turn the asparagus halfway through roasting. In a small bowl, combine the green onion, cilantro, and vinaigrette. Spoon over asparagus and serve warm."
42938,"jarlsberg cheese,mozzarella ball,balsamic vinegar",Grilled Cheese With Balsamic Glaze," 1/2 lb jarlsberg cheese | 3/4 cup balsamic vinegar | 2 1/2 ounces mozzarella balls, halved ","Cut the cheese into 1/3 inch thick slices. Place cheese slices in a small bowl. Place the balsamic vinegar in a saucepan and let stand for about 2 minutes. Place the vinegar in a skillet, add the cheese slices and turn to coat. Let cheese cook and melt for about 20 minutes, or until the cheese has brown. Turn with a spatula. Pour the glaze over the cheese, and enjoy."
42939,"cream,pork",Pork and Cream Stroganoff, 1 lb ground pork | 1/2 pint whipped cream | 1/2 cup sour cream ,"Crumble the ground pork into a 1 1/2 pint ramekin or basin of decent size proportions. Spread the fat over the meat and cover with a plastic cling wrap or lid. Cook in a very slow oven for 3 hours. If you have a stir fry cooker, add the sour cream to the meat and cream mixture and slowly bring to the boil. When the thickened liquid has thickened to the consistency of gravy, the wine is ready. To prepare, strain the gravy through a cheesecloth or sieve and pour over a large pan of simmering hot, drained wine and serve hot with boiled new potatoes and boiled new potatoes."
42940,"mustard,fish sauce,cauliflower,jasmine rice,sunflower oil,corn oil",Simple Vietnamese Cauliflower, 1 head cauliflower | 1 1/2 teaspoons sunflower oil | 1/2 teaspoon corn oil | 500 ml jasmine rice | 1 tablespoon light fish sauce | 1/2 teaspoon dry mustard ,"Wash the cauliflower and chop into small florets. Blanch for 2 - 3 minutes or until bright green. Heat oil in a frying pan on high heat, stir fry cauliflower for 7 - 8 minutes. Turning often. Remove cauliflower from pan and add rice. Stir well. Add fish sauce and dry mustard. Add 2 cups of boiling water or water so that all the water is absorbed. Cover pan, turn heat down to low and simmer for 15 - 20 minutes or until rice is dry. Check if water has been absorbed into rice. Serve immediately."
42941,"basil,kosher salt,carrot,red wine vinegar,cilantro stem,lemon juice,water",Cilantro Carrots," 1 lb carrot, peeled, cut on the bias slant a 1/2-inch thick | 1 1/2 teaspoons salt | 4 cups water | 2 tablespoons red wine vinegar | 2 tablespoons fresh lemon juice | fresh basil, chopped | fresh cilantro stem, chopped ","In a medium saucepan, combine carrots with salt and water and bring to a boil. Reduce heat to medium low and simmer, covered, until carrots are very tender when pierced with a fork, about 10 minutes. Remove from heat and add vinegar, lemon juice, basil and cilantro. Season to taste with salt and pepper. Note, recipe may also be used to stuff cooked meat, poultry or vegetables. A note on the carrot, i used my electric carrots, and it was quick. To cook meat or poultry, follow the package directions. The carrots can be cooked in boiling water for about 20 minutes, remove from the stove and let drain in colander for 15 minutes, before removing from colander. When cool enough to handle, trim off the ends and core, then slice into 1/4 or 1/2 wide by 2 1/2 inch thick pieces. Add more water if necessary to cover the carrot pieces. This makes a large amount. Note, if using poultry, add 1/2 to 3/4 tsp salt to the carrot water before adding meat and poultry. Note on vegetables, i used the quick grilling method but you don't usually have to cook them a long time. Note on wine vinaigrette, i used apple cider vinegar, and the flavor was great as well. It is also wonderful with a touch of cayenne pepper. Note, if using fresh basil, chop off and discard basil stems. Note, i did not have any fresh basil leaves, just a small bunch of fresh leaves. I also added a little dried basil and ground some more cayenne pepper. Note, i took my electric carrots out and had them started to shred the carrots. They were the best. I took about 5 minutes to complete and they were tender and had a great texture."
42942,"garbanzo bean,coconut,active yeast,swiss chard,beef stew meat",Beef & Swiss Chard Loaf," 1 cup beef stew meat, chopped | 4 tablespoons dry active yeast | 1/3 cup chopped swiss chard | 1/2 cup garbanzo beans, drained | 1/4 1/4 cup unsweetened dried shredded coconut, divided ","Preheat oven to 425 degrees f. Combine beef, yeast, chard, beans and 1 tablespoon of the coconut in a bowl stir to blend well. Place mixture in a 9x5 inch loaf pan that has been sprayed with nonstick cooking spray. Top with remaining 1 tablespoon of coconut and sprinkle top with remaining coconut. Cover with plastic wrap and a kitchen towel and let rise in a warm place for 1 hour and 1 hour or until slightly puffy. Bake at 425 degrees f for 20 to 25 minutes or until well browned."
42943,"allspice berry,pistachio,soya sauce,ice cube,broccoli floret,epazote,chunky peanut butter",Thin Sichuan Nuts (Peanut Sauce With Broccoli)," 2 cups broccoli florets | 1 tablespoon allspice berries | 6 tablespoons chunky peanut butter | 1/3 cup chunky soya sauce or 1/3 cup tamarind concentrate | 1/4 cup pistachios, blanched, shelled, coarsely chopped | 1/2 teaspoon epazote, preferably a milder sanjo brand is highly recommended | ice cube ","In a small saucepan, combine the broccoli and allspice berries and a pinch or two of salt to taste. Cover the pan and cook over medium heat until the broccoli is bright and bright green. Immediately remove the pan from the heat and stir in the peanut butter and soy sauce. Transfer to a bowl."
42944,"extra virgin olive oil,avocado,ginger,baking chocolate,chicken broth,vanilla extract,plain flour","Avocado, Ginger & Chocolate Muffins"," 2 tablespoons extra virgin olive oil | 150 g baking chocolate, finely chopped | 1 cup chicken broth | 1 cup plain flour | 1 teaspoon ground ginger | 1 teaspoon vanilla extract | 100 g grated fresh avocados ","Preheat oven to 180°c grease or line 18 holes of a muffin tin with paper cases. Grease & line with paper cases. Using a electric mixer fitted with a paddle, combine the chocolate, stock & spices in a saucepan over a low heat. Stir continuously over a medium heat until chocolate has melted. Stir in the avocado & remove from the heat. Using an electric mixer, stir the melted chocolate mixture into the flour then mix until lightly combined. Spoon half of the mixture into the lined muffin moulds then press the other half of the mixture into the muffins pressing into the sides. Brush the tops with water then bake for 8 to 10 minutes until golden brown. Serve warm."
42945,"yukon gold potato,tabasco sauce,buttermilk,lime peel,self rising flour,pecorino romano cheese,apricot preserve,chicken",Chef John's Famous Galette," 3 1/4 lbs yukon gold potatoes, thinly sliced | 7/8 cup self-rising flour, divided | 3 tablespoons grated pecorino romano cheese, divided | 1 1/2 cups buttermilk | 2 tablespoons finely shredded lime peel | 1/2 cup apricot preserves, divided | 1 whole chicken, quartered | tabasco sauce ","Preheat oven to 425 degrees. In a large bowl of cold water, beat one third of the flour with the 1 tablespoon of the grated cheese until smooth. Fold in the buttermilk and lime peel and transfer to a jelly roll pan. Arrange the potatoes in an even layer on the dough. Bake on a baking sheet lined with parchment paper for 20 minutes, then lower the temperature to 200 degrees. Bake until golden brown and crispy, 15 to 20 minutes. Meanwhile, in a small skillet, heat 2 tablespoons of the preserves over medium heat until golden brown and bubbly. To serve, carefully remove the potatoes from the oven and set aside. Arrange the chicken pieces on top of the potatoes in a 9 by 12 inch baking dish. Season with tabasco. Drizzle with the remaining 1 tablespoon of preserves. Bake in the oven for 10 minutes, then broil for 3 minutes to brown the top, 3 to 4 minutes more."
42946,"boston lettuce,butterscotch chip,spanish olive oil,maple syrup,caraway seed",Maple Chips And Taterscotch, 1 bunch fresh boston lettuce | 1 cup real butterscotch chips | 6 ounces caraway seeds ( i used to taste about 2.5 cans ) | 2 -3 tablespoons real maple syrup | 1/3 cup spanish olives or 1/3 cup canola oil ,"Wash the lettuce well. Cut the lettuce into thin diagonal slices across the stalk. Set aside in a large bowl in the sun. Pour off some of the bitter orange bitter orange sections. Rinse again and pat dry. Add enough butterscotch chips and caraway seeds to coat the lettuce slices. I coated my lettuce with maple syrup, then tossed the lettuce pieces into the bowl. Drizzle the oil over the lettuce. Give a good toss. Transfer the chips and caraway seeds in to a dehydrator. Set on the rack and dehydrate for one hour, tossing every hour or so. Remove the chips and seeds from the dehydrator. Allow the chips to cool in the fridge for at least 1/2 hour. Transfer the chips and seeds to an airtight container and store in the fridge. Note, this is where i added a little water to make the chips crispy. I used the maple syrup and some salt to tone down the bitter orange orange zest."
42947,"swede,kingfish",Fish and Potatoes," 5 -6 kingfish, depending on size | 1 3/4 kg swedes, or rutabagas, depending on size ","Wash and thoroughly clean the fish with a knife, removing all the bones and white matter. Cut into large cubes, about 1 1/2 cm thick. Place the fish pieces on the large pieces of steamer pan or a grill, cover and heat slowly at least 3 minutes on both sides. Remove the steamer from the heat, or, if necessary, place some oil on the fish pieces and spread a layer of potato and swede on the top. Continue using a layer of the fish until the fish is complete and the potato layer has been used up. It will probably take more than the vegetables. Turn the fish once during cooking."
42948,"leaf lettuce,active yeast,ginger beer",St. Patrick's Day New York Style Brown Beer, 2 packages active dry yeast | 1 cup packed dark ginger beer | 1/2 cup chopped dried leaf lettuce ,"In a large bowl, dissolve yeast in the warm beer. Pour in the ginger and the 1/2 cup of chopped lettuce and mix well. Let stand until bubbles form on top of the liquid 2 minutes. Drain liquid and stir into yeast mixture. When cool, cover and refrigerate overnight."
42949,"onion powder,serrano chilies,orange section,yellow bean,bay seasoning,vegetable,ear corn cob,bacon",Mexican Street Corn on the Cob," 6 ears corn on the cob, husked | 5 slices bacon, chopped | 1 cup chopped onion ( optional ) | 2 cans yellow beans, drained | 1 serrano chilies, chopped | 2 tablespoons orange sections | 1 tablespoon old bay seasoning | 1 tablespoon old bay seasoning ","Preheat grill for medium heat and lightly oil grate. Wrap corn around a metal skewer or chop to fit. Cook corn in grill on the preheated grill until grill marks form, 2 to 3 minutes on each side. While corn is cooking, place bacon in a skillet and cook over medium heat, turning frequently, until evenly browned, about 10 minutes. Drain off any excess drippings. Stir in onion, beans, chiles, orange sections, and 1 tablespoon old bay seasoning. Transfer to a serving dish and sprinkle with remaining 1 tablespoon old bay seasoning. Serve hot."
42950,"red pepper,cherry",Quick Cherries and Roasted Red Pepper," 20 cherry | 1 red sweet pepper, roasted, seeded, and sliced ","In an oven proof dish, mix red sweet pepper, red sweet pepper slices, and roasted red pepper pieces in microwave for 2 minutes. The cherry pieces will sink to the bottom of the dish in less than 2 minutes. Serve warm with plain rice or egg noodles."
